Name_x,포지션,pit_G,GR,GF,CG,SHO,W,L,S,HD,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,RA9,FIP,WHIP,팀,pid,Sort▼_y,fid_G,fid_GS,fid_IP,PO,Ass,E,F%,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,연봉(만원),WAR,WAR당 연봉,팀_y,pit_GS,pit_IP
조현우,투수,5,5,1,0,0,0,0,0,0,2,2,2.0,17,6,1,0,0,2,0,0,1,0,0,1,6.0,6.0,5.08,2.67,KT 위즈,11316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7600,0.01,993178,KT 위즈,,
정성곤,투수,6,6,3,0,0,0,0,0,0,5,9,9.85,29,8,3,0,2,7,0,0,3,1,0,0,10.38,18.69,12.62,3.46,SSG 랜더스,11321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500,-0.11,-49758,SSG 랜더스,,
구창모,투수,11,2,0,0,0,1,3,0,0,17,19,17.8,205,38,3,0,4,16,0,0,56,5,0,0,2.96,3.31,3.02,1.05,NC 다이노스,11353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000,1.7,35313,NC 다이노스,,
이우석,투수,1,1,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,8.5,1.5,NC 다이노스,11360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300,0.03,124338,NC 다이노스,,
배제성,투수,26,2,0,0,0,8,10,0,0,65,72,67.55,596,144,20,1,6,77,2,0,79,6,1,9,4.49,4.97,4.76,1.7,KT 위즈,11394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000,1.95,10266,KT 위즈,,
최충연,투수,7,7,3,0,0,0,0,0,0,5,8,9.05,47,10,1,0,3,7,3,0,8,1,1,0,4.82,7.71,8.85,1.82,삼성 라이온즈,12530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500,-0.09,-59554,삼성 라이온즈,,
김주한,투수,1,1,0,0,0,0,0,0,0,3,3,3.0,3,2,0,0,1,1,0,0,0,0,0,0,99.99,99.99,15003.8,99.99,SSG 랜더스,12531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.02,-196947,SSG 랜더스,,
김재영,투수,6,6,3,0,0,0,0,0,0,9,9,8.3,40,13,2,1,2,2,2,0,5,0,0,0,10.13,10.13,6.81,1.88,한화 이글스,12547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5300,-0.14,-38416,한화 이글스,,
김태오,투수,5,5,2,0,0,0,0,0,0,6,6,8.05,35,10,3,0,0,4,0,1,3,1,0,0,7.36,7.36,4.09,1.91,KT 위즈,12577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500,-0.18,-19991,KT 위즈,,
고봉재,투수,10,10,5,0,0,0,0,0,0,8,8,9.55,53,12,2,1,0,7,1,0,7,1,0,0,6.35,6.35,4.49,1.68,두산 베어스,12605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300,-0.11,-29690,두산 베어스,,
박세웅,투수,2,2,0,0,0,0,0,0,0,2,2,2.35,6,1,0,0,1,3,0,0,1,0,0,0,27.0,27.0,31.9,6.0,삼성 라이온즈,12651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600,-0.03,-106149,삼성 라이온즈,,
류희운,투수,3,3,1,0,0,0,0,0,0,5,5,5.0,20,6,1,0,1,2,0,0,4,0,0,0,11.25,11.25,5.87,2.0,한화 이글스,12655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300,-0.06,-59419,한화 이글스,,
이승진,투수,1,1,0,0,0,0,0,0,0,0,4,2.45,6,1,0,0,0,1,1,0,1,1,0,0,0.0,54.0,9.4,3.0,두산 베어스,12678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8800,-0.02,-420564,두산 베어스,,
배재준,투수,1,1,0,0,0,0,0,0,0,2,2,2.0,6,2,0,1,0,1,0,0,0,0,0,1,18.0,18.0,6.95,3.0,LG 트윈스,12697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500,-0.02,-316248,LG 트윈스,,
이승호,투수,4,3,0,0,0,0,0,0,1,3,3,3.0,24,5,3,0,1,4,0,0,1,0,0,0,5.4,5.4,8.21,1.8,키움 히어로즈,12865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12800,0.09,140999,키움 히어로즈,,
고우석,투수,44,44,35,0,0,3,8,15,0,18,19,21.05,190,38,6,0,2,22,4,1,59,1,0,5,3.68,3.89,2.8,1.36,LG 트윈스,12907.0,0.0,44.0,0.0,44.0,3.0,5.0,1.0,88.9,1.64,0.0,0.0,43000,0.53,81646,LG 트윈스,,
김태욱,투수,1,1,1,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.85,0.0,롯데 자이언츠,12923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0.04,72688,롯데 자이언츠,,
김시현,투수,2,2,2,0,0,0,0,0,0,4,5,5.0,17,6,1,0,2,2,0,0,2,1,0,0,12.0,15.0,12.18,2.67,삼성 라이온즈,12932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700,-0.06,-63090,삼성 라이온즈,,
나원탁,투수,1,1,0,0,0,0,0,0,0,3,3,3.0,6,3,0,0,1,1,0,0,1,0,0,0,40.5,40.5,22.6,6.0,롯데 자이언츠,12935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400,-0.02,-142499,롯데 자이언츠,,
이영준,투수,2,2,0,0,0,0,1,0,0,4,4,3.5,10,4,0,0,0,1,0,0,0,0,0,1,21.6,21.6,5.71,3.0,키움 히어로즈,12997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000,-0.1,-73546,키움 히어로즈,,
김주온,투수,1,1,0,0,0,0,0,0,0,3,3,2.15,5,2,0,0,0,1,1,0,1,0,0,1,81.0,81.0,14.95,9.0,SSG 랜더스,13057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.01,-244111,SSG 랜더스,,
안우진,투수,24,0,0,0,0,9,7,0,0,40,44,41.25,608,121,25,1,5,38,1,1,164,5,0,8,2.39,2.63,2.33,1.06,키움 히어로즈,13091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000,6.86,5100,키움 히어로즈,,
김유신,투수,27,27,9,0,0,0,1,0,2,19,19,22.6,141,34,8,0,2,19,3,0,12,1,0,0,5.64,5.64,5.89,1.75,KIA 타이거즈,13114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900,-0.26,-14911,KIA 타이거즈,,
하준영,투수,57,57,13,0,0,1,0,0,2,25,25,27.5,215,52,6,1,4,19,2,1,49,1,0,0,4.59,4.59,3.65,1.45,NC 다이노스,13115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500,0.16,47675,NC 다이노스,,
조성훈,투수,2,0,0,0,0,0,1,0,0,5,5,5.0,34,10,1,0,0,4,2,0,4,0,0,0,6.43,6.43,5.08,2.0,SSG 랜더스,13125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0.02,153301,SSG 랜더스,,
정성종,투수,12,9,2,0,0,0,1,0,1,13,14,13.5,98,21,5,0,1,15,1,1,10,0,0,1,5.32,5.73,5.37,1.64,롯데 자이언츠,13147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600,0.15,24658,롯데 자이언츠,,
양창섭,투수,15,11,1,0,0,0,3,0,2,29,29,27.8,141,45,5,1,7,16,1,1,12,0,0,2,9.1,9.1,7.55,2.13,삼성 라이온즈,13157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800,-0.42,-11318,삼성 라이온즈,,
서동민,투수,2,2,1,0,0,0,0,0,0,0,0,0.0,6,0,0,0,0,3,0,0,1,0,0,0,0.0,0.0,10.65,3.0,SSG 랜더스,13191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000,0.05,120132,SSG 랜더스,,
류원석,투수,1,1,1,0,0,0,0,0,0,1,1,1.0,8,1,0,0,0,0,1,0,1,0,0,1,4.5,4.5,4.15,0.5,한화 이글스,13251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500,0.02,198876,한화 이글스,,
박윤철,투수,3,3,1,0,0,0,0,0,0,8,8,8.0,20,5,2,0,2,5,0,0,1,0,0,1,21.6,21.6,14.89,3.0,한화 이글스,14129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400,-0.09,-39271,한화 이글스,,
이정용,투수,37,24,9,0,0,7,2,3,1,40,45,46.4,382,100,20,1,5,19,2,0,50,9,0,3,4.15,4.67,3.84,1.37,LG 트윈스,14134.0,0.0,37.0,13.0,86.2,3.0,8.0,1.0,91.7,1.14,0.0,0.0,24000,0.87,27693,LG 트윈스,,
서상준,투수,2,2,1,0,0,0,0,0,0,0,3,3.0,13,1,0,0,0,5,0,0,3,1,0,1,0.0,13.5,7.85,3.0,SSG 랜더스,14152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.03,-92477,SSG 랜더스,,
박영완,투수,1,1,1,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,4.45,1.0,롯데 자이언츠,14164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,0.05,66999,롯데 자이언츠,,
윤산흠,투수,5,5,0,0,0,0,0,0,0,2,2,2.5,18,3,1,0,0,6,0,0,3,0,0,0,6.0,6.0,7.55,3.0,한화 이글스,14196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800,-0.14,-34278,한화 이글스,,
제환유,투수,1,1,0,0,0,0,0,0,0,3,4,3.65,14,3,0,0,0,4,0,0,2,1,0,1,13.5,18.0,7.55,3.5,두산 베어스,14573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.05,-61039,두산 베어스,,
이민호,투수,5,0,0,0,0,0,2,0,0,11,13,13.0,91,22,4,0,1,10,0,0,7,4,0,0,5.03,5.95,5.14,1.63,LG 트윈스,14589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000,-0.01,-2750156,LG 트윈스,,
정구범,투수,4,2,0,0,0,0,1,0,0,11,11,11.0,64,16,3,0,3,12,0,0,6,0,0,0,7.82,7.82,8.42,2.21,NC 다이노스,14595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.1,-30318,NC 다이노스,,
허윤동,투수,7,6,3,0,0,0,1,0,0,12,12,12.7,60,16,7,0,0,12,0,0,8,1,0,0,10.13,10.13,5.46,2.63,삼성 라이온즈,14613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400,-0.15,-35223,삼성 라이온즈,,
뷰캐넌,투수,30,0,1,1,0,12,8,0,0,53,71,69.95,784,174,25,2,4,43,6,1,139,13,1,7,2.54,3.4,3.05,1.15,삼성 라이온즈,14617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110000,6.31,17428,삼성 라이온즈,,
스트레일리,투수,16,0,0,0,0,3,5,0,0,39,43,41.8,364,82,8,1,6,37,10,0,70,4,0,4,4.37,4.82,4.37,1.48,롯데 자이언츠,14627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,1.78,56200,롯데 자이언츠,,
하준수,투수,1,1,1,0,0,0,0,0,0,0,0,0.0,5,0,0,0,0,2,0,0,1,0,0,0,0.0,0.0,7.55,2.0,NC 다이노스,14654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100,0.04,78983,NC 다이노스,,
강재민,투수,43,43,2,0,0,1,3,0,12,31,31,31.25,189,35,10,1,5,19,8,0,42,1,0,0,6.44,6.44,4.73,1.25,한화 이글스,14708.0,0.0,43.0,0.0,43.1,0.0,5.0,0.0,100.0,1.04,0.0,0.0,15000,-0.64,-23513,한화 이글스,,
장재영,투수,23,6,0,0,0,1,5,0,0,44,46,43.25,339,63,15,0,4,66,8,0,67,6,2,8,5.53,5.78,5.38,1.8,키움 히어로즈,14784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,0.85,3743,키움 히어로즈,,
김창훈,투수,3,3,1,0,0,0,0,0,0,1,1,1.7,17,5,0,1,0,1,0,0,1,0,0,0,2.08,2.08,3.99,1.38,롯데 자이언츠,14793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,0.07,42936,롯데 자이언츠,,
이재희,투수,2,1,0,0,0,0,0,0,0,3,3,3.0,33,4,1,0,1,5,0,0,5,0,0,1,3.38,3.38,5.71,1.13,삼성 라이온즈,14799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600,0.12,30311,삼성 라이온즈,,
송승기,투수,1,1,1,0,0,0,0,0,0,0,0,0.0,5,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,6.95,2.0,LG 트윈스,14846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500,0.04,88615,LG 트윈스,,
김준형,투수,8,8,3,0,0,0,0,0,0,6,6,5.15,36,4,3,0,0,6,3,0,5,0,0,0,7.04,7.04,5.86,1.3,키움 히어로즈,14848.0,0.0,7.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200,0.0,1510520,키움 히어로즈,,
김성진,투수,55,55,16,0,0,3,3,0,7,19,19,21.35,208,44,7,0,5,25,1,2,38,1,0,0,3.64,3.64,4.74,1.47,키움 히어로즈,14849.0,0.0,55.0,0.0,47.0,1.0,5.0,1.0,85.7,1.15,0.0,0.0,4500,0.84,5378,키움 히어로즈,,
수아레즈,투수,19,0,0,0,0,4,7,0,0,47,54,51.05,479,129,19,1,3,32,2,0,88,10,0,6,3.92,4.5,3.12,1.49,삼성 라이온즈,15001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000,2.52,35762,삼성 라이온즈,,
플럿코,투수,21,0,0,0,0,11,3,0,0,33,37,37.0,510,115,21,3,5,31,3,1,101,6,0,2,2.41,2.7,3.14,1.18,LG 트윈스,15003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000,4.58,17476,LG 트윈스,,
박준영,투수,4,4,1,0,0,0,0,0,0,9,9,5.9,23,2,0,0,0,8,0,0,7,0,0,1,18.69,18.69,5.53,2.31,한화 이글스,15014.0,0.0,4.0,0.0,4.1,0.0,1.0,0.0,100.0,2.08,0.0,0.0,3100,-0.08,-37897,한화 이글스,,
김서준,투수,8,7,5,0,0,0,1,0,1,6,6,5.15,39,9,2,0,0,6,2,0,2,0,0,3,7.04,7.04,6.43,1.96,삼성 라이온즈,15039.0,0.0,8.0,1.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300,-0.07,-46533,삼성 라이온즈,,
이원재,투수,1,0,0,0,0,0,0,0,0,3,3,2.65,9,3,1,0,0,3,0,0,0,0,0,0,27.0,27.0,13.15,6.0,두산 베어스,15101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.06,-50863,두산 베어스,,
임지민,투수,2,2,0,0,0,0,0,0,0,2,2,2.0,10,2,0,0,0,4,0,0,3,0,0,2,13.5,13.5,7.52,4.5,NC 다이노스,15115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.02,-138769,NC 다이노스,,
조민석,투수,35,35,8,0,0,1,0,0,4,14,15,17.05,137,33,9,0,2,14,3,0,28,2,0,1,4.06,4.35,4.06,1.52,NC 다이노스,15119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500,0.13,26129,NC 다이노스,,
파노니,투수,16,1,0,0,0,6,3,0,0,39,41,36.9,351,86,14,1,6,23,2,0,66,4,0,0,4.26,4.48,3.65,1.32,KIA 타이거즈,15147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000,1.73,20229,KIA 타이거즈,,
이진하,투수,9,9,1,0,0,0,0,0,0,3,3,2.5,31,4,3,0,0,3,1,0,2,1,0,1,3.38,3.38,4.77,0.88,롯데 자이언츠,15441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0.18,17085,롯데 자이언츠,,
이태연,투수,15,15,2,0,0,0,0,0,1,10,10,10.35,37,12,3,0,1,9,0,0,4,0,0,0,15.88,15.88,9.11,3.71,롯데 자이언츠,15444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.15,-19665,롯데 자이언츠,,
석상호,투수,5,5,2,0,0,0,0,0,0,0,0,0.0,22,4,1,0,0,2,0,0,6,1,0,1,0.0,0.0,2.2,1.13,롯데 자이언츠,15445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0.26,11574,롯데 자이언츠,,
장세진,투수,2,2,0,0,0,0,0,0,0,2,2,2.5,8,2,0,0,1,2,0,0,1,0,0,0,13.5,13.5,15.55,3.0,롯데 자이언츠,15448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.04,-81268,롯데 자이언츠,,
김건희,23 1B,3,3,2,0,0,0,0,0,0,5,5,3.95,14,6,0,0,2,2,0,0,0,0,0,0,22.5,22.5,18.85,4.0,키움 히어로즈,15472.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.24,-12690,키움 히어로즈,,
오상원,투수,11,10,7,0,0,0,0,0,0,11,11,11.5,74,18,5,1,0,9,3,0,7,1,0,0,6.6,6.6,5.16,1.8,키움 히어로즈,15474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.09,-33749,키움 히어로즈,,
박권후,투수,4,4,2,0,0,0,0,0,0,1,2,2.0,13,4,0,0,1,1,0,0,0,0,1,0,3.38,6.75,9.47,1.88,삼성 라이온즈,15497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0.0,12211801,삼성 라이온즈,,
백승우,투수,6,6,2,0,0,0,0,0,0,0,0,0.5,18,3,0,0,0,3,1,0,1,0,0,0,0.0,0.0,6.32,1.5,두산 베어스,15514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0.16,18521,두산 베어스,,
김정운,투수,5,5,4,0,0,0,0,0,0,3,4,5.2,35,6,2,0,0,6,2,0,3,1,0,0,3.86,5.14,6.32,1.71,KT 위즈,15518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,-0.01,-312870,KT 위즈,,
맥카티,투수,24,0,0,0,0,9,5,0,0,49,58,56.8,543,124,19,2,10,45,1,0,116,6,1,4,3.39,4.02,3.63,1.3,SSG 랜더스,15528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000,3.38,17736,SSG 랜더스,,
앤더슨,투수,14,0,0,0,0,4,7,0,0,33,42,39.05,336,76,12,3,6,26,2,0,64,8,0,10,3.76,4.78,3.83,1.29,KIA 타이거즈,15533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000,1.34,44722,KIA 타이거즈,,
메디나,투수,12,0,0,0,0,2,6,0,0,39,42,39.25,269,64,16,1,6,29,9,0,36,2,1,5,6.05,6.52,5.56,1.6,KIA 타이거즈,15534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000,-0.07,-444450,KIA 타이거즈,,
페디,투수,30,0,0,0,0,20,6,0,0,40,46,44.95,708,137,16,0,9,35,4,0,209,13,0,5,2.0,2.3,2.22,0.95,NC 다이노스,15535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000,7.95,10059,NC 다이노스,,
딜런,투수,2,0,0,0,0,0,1,0,0,8,9,6.95,45,10,1,0,2,5,0,0,2,3,0,1,8.0,9.0,7.66,1.67,두산 베어스,15538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000,-0.08,-541797,두산 베어스,,
스미스,투수,1,0,0,0,0,0,0,0,0,2,2,0.8,12,3,0,0,0,0,1,0,2,0,0,0,6.75,6.75,3.14,1.13,한화 이글스,15540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000,0.09,756875,한화 이글스,,
슐서,투수,9,0,0,0,0,1,7,0,0,31,32,31.0,221,66,9,1,6,14,0,1,35,1,0,2,5.62,5.8,4.34,1.61,KT 위즈,15542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000,0.33,197251,KT 위즈,,
맥키니,투수,12,0,0,0,0,1,9,0,0,43,46,44.8,268,61,14,1,10,36,1,0,39,2,1,3,6.52,6.98,6.14,1.63,키움 히어로즈,15646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0.11,92461,키움 히어로즈,,
산체스,투수,12,1,1,1,0,4,4,0,0,42,46,43.6,285,79,19,1,7,15,4,1,59,3,1,1,5.94,6.5,3.77,1.48,KIA 타이거즈,15648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000,0.12,217065,KIA 타이거즈,,
태너,투수,11,0,0,0,0,5,2,0,0,21,26,24.65,265,58,8,0,6,13,1,0,47,3,0,0,2.92,3.62,3.81,1.1,NC 다이노스,15653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000,1.94,7723,NC 다이노스,,
류현진,투수,28,0,0,0,0,10,8,0,0,68,78,76.95,679,182,22,1,12,33,3,0,135,10,0,1,3.87,,3.67,1.36,한화 이글스,10590.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,250000,4.56,54775,,28.0,158.1
박시영,투수,26,26,5,0,0,0,1,1,4,13,13,15.4,110,27,8,1,4,7,1,1,23,0,0,3,4.62,,4.67,1.34,KT 위즈,10737.0,,24.0,0.0,25.1,2.0,3.0,0.0,,1.78,0.0,0.0,9000,0.29,30622,,0.0,25.1
조상우,투수,44,44,7,0,0,0,1,6,9,14,17,18.85,171,40,6,0,2,20,0,1,36,0,0,1,3.18,,4.02,1.51,키움 히어로즈,11126.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,34000,0.65,52414,,0.0,39.2
